"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Precipitation|GPCPv2.3 Score","Relationships","global","score","1","0.676173","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Precipitation|GPCPv2.3 Hellinger Distance","Relationships","bona","scalar","1","0.274993","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Precipitation|GPCPv2.3 Score","Relationships","bona","score","1","0.671478","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","global","scalar","1","0.303755","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","global","score","1","0.652312","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","NearSurfaceAirTemperature|CRU4.02 Hellinger Distance","Relationships","bona","scalar","1","0.251542","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","NearSurfaceAirTemperature|CRU4.02 Score","Relationships","bona","score","1","0.73081","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Overall Score","Relationships","global","score","1","0.657898","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISAM","Overall Score","Relationships","bona","score","1","0.57308","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Benchmark Period Mean (intersection)","MeanState","global","scalar","kg m-2","4.76085","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Benchmark Period Mean (complement)","MeanState","global","scalar","kg m-2","0.197451","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Period Mean (original grids)","MeanState","global","scalar","kg m-2","4.73831","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Model Period Mean (intersection)","MeanState","global","scalar","kg m-2","6.80779","20.0"
"EcosystemandCarbonCycle","Biomass","GEOCARBON","ISBA-CTRIP","Model Period Mean (complement)","MeanState","global","scalar","kg m-2","1.3941","20.0"
